specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
5215,UF,uf,H,herp,9620,9620,Scaphiopus,scaphiopus,holbrookii,holbrookii
5216,USNM,usnm,,paleobiology,397383,pal397383,Lagothrix,genus,lagotricha,sp
5221,USNM,usnm,,paleobiology,397775,pal397775,Lagothrix,thambetochen,lagotricha,sp
5222,USNM,usnm,,paleobiology,397774,pal397774,Lagothrix,genus,lagotricha,sp
5225,USNM,usnm,,paleobiology,302626,pal302626,Cacajao,clarkeoceras,calvus,rhomboidale
5226,USNM,usnm,,paleobiology,395027,pal395027,Cacajao,pterodroma,calvus,hypoleuca
5227,USNM,usnm,,paleobiology,338114,pal338114,Ateles,tyto,fusciceps,glaucops
5228,USNM,usnm,,paleobiology,338954,pal338954,Ateles,eoannularia,paniscus,eocenica
5229,USNM,usnm,,paleobiology,311217,pal311217,Lagothrix,betulites,lugens,westii
5233,UCMP,ucmp,,v,218311,218311,,,,
5234,UCMP,ucmp,,v,218305,218305,,,,
5244,AMNH,amnh,M,mammals,188014,m-188014,Cebus,cebus,albifrons,albifrons
5245,AMNH,amnh,M,mammals,52554,m-52554,Cercopithecus,cercopithecus,ascanius,ascanius
5252,AMNH,amnh,M,mammals,167335,m-167335,Gorilla,gorilla,gorilla,gorilla
5253,AMNH,amnh,M,mammals,106272,m-106272,Nasalis,nasalis,larvatus,larvatus
5254,USNM,usnm,A,mammals,20860,a20860,Papio,papio,ursinus,ursinus
5255,USNM,usnm,,paleobiology,271048,pal271048,Symphalangus,leperditella,syndactylus,tumida
5257,UF,uf,,uf,206880,206880,Eremotherium,eremotherium,eomigrans,eomigrans
5268,UF,uf,H,herp,40764,40764,Hypodactylus,hypodactylus,araiodactylus,araiodactylus
5271,UF,uf,H,herp,65587,65587,Boa,boa,constrictor,constrictor
5285,UCMP,ucmp,,v,218306,218306,,,,
5286,UCMP,ucmp,,v,218307,218307,,,,
5287,UCMP,ucmp,,v,218308,218308,,,,
5288,UCMP,ucmp,,v,218309,218309,,,,
5289,UCMP,ucmp,,v,218248,218248,,,,
5290,UCMP,ucmp,,v,218249,218249,,,,
5291,UCMP,ucmp,,v,218250,218250,,,,
5292,UCMP,ucmp,,v,218251,218251,,,,
5293,UCMP,ucmp,,v,218313,218313,,,,
5294,UCMP,ucmp,,v,218314,218314,,,,
5295,UCMP,ucmp,,v,218256,218256,,,,
5296,UCMP,ucmp,,v,218257,218257,,,,
5297,UCMP,ucmp,,v,218258,218258,,,,
5298,UCMP,ucmp,,v,218259,218259,,,,
5299,UCMP,ucmp,,v,218252,218252,,,,
5308,AMNH,amnh,M,mammals,174535,m-174535,Microcebus,microcebus,sp.,murinus
5310,AMNH,amnh,M,mammals,174456,m-174456,Microcebus,microcebus,sp.,murinus
5311,AMNH,amnh,M,mammals,76858,m-76858,Alouatta,alouatta,seniculus,seniculus
5312,AMNH,amnh,M,mammals,26593,m-26593,Ateles,ateles,geoffroyi,geoffroyi
5313,AMNH,amnh,M,mammals,167344,m-167344,Pan,pan,troglodytes,troglodytes
5339,UF,uf,,mammals,4109,4109,Titanis,tamiasciurus,walleri,hudsonicus
5350,AMNH,amnh,M,mammals,133635,m-133635,Cebus,cebus,apella,apella
5352,AMNH,amnh,M,mammals,34716,m-34716,Chlorocebus,chlorocebus,pygerythrus,pygerythrus
5354,AMNH,amnh,M,mammals,215048,m-215048,Aotus,aotus,azarae,azarae
5358,MCZ,mcz,,mamm,37716,37716,Presbytis,presbytis,phayrei,phayrei
5370,UCMP,ucmp,,v,218253,218253,,,,
5371,UCMP,ucmp,,v,218254,218254,,,,
5372,UCMP,ucmp,,v,218255,218255,,,,
5373,UCMP,ucmp,,v,218289,218289,,,,
5374,UCMP,ucmp,,v,218291,218291,,,,
5375,UCMP,ucmp,,v,218294,218294,,,,
5376,UCMP,ucmp,,v,218296,218296,,,,
5377,UCMP,ucmp,,v,218297,218297,,,,
5378,UCMP,ucmp,,v,218282,218282,,,,
5379,UCMP,ucmp,,v,218283,218283,,,,
5380,UCMP,ucmp,,v,218284,218284,,,,
5381,UCMP,ucmp,,v,218285,218285,,,,
5382,UCMP,ucmp,,v,218287,218287,,,,
5383,UCMP,ucmp,,v,218288,218288,,,,
5384,UCMP,ucmp,,v,218262,218262,,,,
5385,UCMP,ucmp,,v,218263,218263,,,,
5424,AMNH,amnh,M,mammals,170605,m-170605,Echinops,echinops,telfairi,telfairi
5433,AMNH,amnh,M,mammals,261241,m-261241,Monodelphis,monodelphis,domestica ,domestica
5436,AMNH,amnh,M,mammals,81213,m-81213,Procavia,procavia,capensis,capensis
5437,AMNH,amnh,M,mammals,200550,m-200550,Alouatta,alouatta,seniculus,seniculus
5438,AMNH,amnh,M,mammals,170790,m-170790,Lepilemur,lepilemur,mustelinus,mustelinus
5439,AMNH,amnh,M,mammals,202801,m-202801,Lagothrix,lagothrix,sp,
5440,AMNH,amnh,M,mammals,188132,m-188132,Ateles,ateles,belzebuth,belzebuth
5441,AMNH,amnh,M,mammals,200578,m-200578,Varecia,varecia,variegata,variegata
5477,UF,uf,I,fish,235748,235748,Homalopteroides,homalopteroides,nebulosus,avii
5497,USNM,usnm,,paleobiology,276631,pal276631,Ateles,genus,geoffroyi,sp
5498,USNM,usnm,,paleobiology,338113,pal338113,Ateles,myiarchus,fusciceps,magnirostris
5499,USNM,usnm,,paleobiology,338955,pal338955,Ateles,camagueyia,paniscus,perplexa
5501,UCMP,ucmp,,v,218365,218365,,,,
5503,UCMP,ucmp,,v,218420,218420,,,,
5504,UCMP,ucmp,,v,218421,218421,,,,
5505,UCMP,ucmp,,v,218299,218299,,,,
5506,UCMP,ucmp,,v,218302,218302,,,,
5507,UCMP,ucmp,,v,218300,218300,,,,
5508,UCMP,ucmp,,v,218303,218303,,,,
5509,UCMP,ucmp,,v,218347,218347,,,,
5510,UCMP,ucmp,,v,218218,218218,,,,
5511,UCMP,ucmp,,v,218220,218220,,,,
5512,UCMP,ucmp,,v,218224,218224,,,,
5517,UF,uf,H,herp,66,66,Anolis,anolis,carolinensis,carolinensis
5518,UF,uf,H,herp,1177-2,1177,Anolis,anolis,carolinensis,carolinensis
5519,UF,uf,H,herp,1964-1,1964,Anolis,anolis,carolinensis,carolinensis
5520,UF,uf,H,herp,1964-2,1964,Anolis,anolis,carolinensis,carolinensis
5521,UF,uf,H,herp,2179-1,2179,Anolis,anolis,carolinensis,carolinensis
5522,UF,uf,H,herp,2183-1,2183,Anolis,anolis,carolinensis,carolinensis
5523,UF,uf,H,herp,2505-1,2505,Anolis,anolis,carolinensis,carolinensis
5524,UF,uf,H,herp,2606,2606,Anolis,anolis,carolinensis,carolinensis
5525,UF,uf,H,herp,2900-1,2900,Anolis,anolis,carolinensis,carolinensis
5526,UF,uf,H,herp,2900-3,2900,Anolis,anolis,carolinensis,carolinensis
5528,UF,uf,H,herp,8920-1,8920,Anolis,anolis,carolinensis,carolinensis
5529,UF,uf,H,herp,2900-6,2900,Anolis,anolis,carolinensis,carolinensis
5530,UF,uf,H,herp,8025,8025,Anolis,anolis,carolinensis,carolinensis
5531,UF,uf,H,herp,2900-7,2900,Anolis,anolis,carolinensis,carolinensis
5535,UF,uf,I,fish,165853,165853,Eptatretus,rubicundus,lopheliae,lopheliae
5542,UF,uf,H,herp,36935,36935,Pelobates,pelobates,fuscus,fuscus
5543,UF,uf,H,herp,109124,109124,Litoria,litoria,aurea,aurea
5561,AMNH,amnh,M,mammals,202326,m-202326,Hylobates,symphalangus,syndactylus,syndactylus
5563,USNM,usnm,Pal,paleobiology,USNM//529039,pal529039,Notharctus,notharctus,tenebrosus,sp
5573,UF,uf,H,herp,113252,113252,Rhacophorus,rhacophorus,schlegeli,schlegelii
5575,UF,uf,H,herp,62022,62022,Rhinoderma,rhinoderma,darwinii,darwinii
5582,UF,uf,H,herp,92093,92093,Pyxicephalus,pyxicephalus,adspersus,adspersus
5594,UF,uf,,mammals,10177,10177,Chironectes,chironectes,minimus,minimus
5595,USNM,usnm,,paleobiology,398212,pal398212,Callicebus,genus,torquatus,sp
5596,UF,uf,,mammals,10108,10108,Didelphis,didelphis,virginiana,virginiana
5597,UF,uf,,mammals,8703,8703,Micoureus,marmosa,alstoni,alstoni
5598,UF,uf,,mammals,8700,8700,Micoureus,marmosa,alstoni,alstoni
5599,UF,uf,H,herp,177996,177996,Eleutherodactylus,eleutherodactylus,atkinsi,atkinsi
5601,UF,uf,,mammals,5938,5938,Didelphis,didelphis,virginiana,virginiana
5602,UCMP,ucmp,,v,218225,218225,,,,
5603,UCMP,ucmp,,v,218346,218346,,,,
5604,UCMP,ucmp,,v,218348,218348,,,,
5605,UCMP,ucmp,,v,218331,218331,,,,
5606,UCMP,ucmp,,v,218334,218334,,,,
5607,UCMP,ucmp,,v,218335,218335,,,,
5608,UCMP,ucmp,,v,218339,218339,,,,
5609,UCMP,ucmp,,v,218351,218351,,,,
5610,UCMP,ucmp,,v,218352,218352,,,,
