Filename,Compressed size,Uncompressed size
/nfs/images/media/morphosource/images/7/9/51681_ms_media_files_media_7912_archive_.zip,1332059049,4569538
/nfs/images/media/morphosource/images/7/9/99422_ms_media_files_media_7958_archive_.zip,34774558,66794
/nfs/images/media/morphosource/images/7/9/2694_ms_media_files_media_7934_archive_.zip,1253920538,4346506
/nfs/images/media/morphosource/images/7/9/13760_ms_media_files_media_7949_archive_.zip,19696815,39910
/nfs/images/media/morphosource/images/7/9/9595_ms_media_files_media_7985_archive_.zip,92904592,142252
/nfs/images/media/morphosource/images/7/9/72965_ms_media_files_media_7952_archive_.zip,11819671,45274
/nfs/images/media/morphosource/images/7/9/29658_ms_media_files_media_7931_archive_.zip,2018730361,4866214
/nfs/images/media/morphosource/images/7/9/17597_ms_media_files_media_7979_archive_.zip,63281207,108348
/nfs/images/media/morphosource/images/7/9/42528_ms_media_files_media_7904_archive_.zip,1802422538,5441638
/nfs/images/media/morphosource/images/7/9/67363_ms_media_files_media_7967_archive_.zip,70504800,194042
/nfs/images/media/morphosource/images/7/9/434_ms_media_files_media_7994_archive_.zip,277108291,232148
/nfs/images/media/morphosource/images/7/9/70450_ms_media_files_media_7908_archive_.zip,2445987398,5441638
/nfs/images/media/morphosource/images/7/9/79104_ms_media_files_media_7997_archive_.zip,171688551,98010
/nfs/images/media/morphosource/images/7/9/37875_ms_media_files_media_7982_archive_.zip,42525202,101064
/nfs/images/media/morphosource/images/7/9/41737_ms_media_files_media_7955_archive_.zip,9923089,46038
/nfs/images/media/morphosource/images/7/9/91736_ms_media_files_media_7906_archive_.zip,1450598963,4505880
/nfs/images/media/morphosource/images/7/9/76545_ms_media_files_media_7991_archive_.zip,158949609,194042
/nfs/images/media/morphosource/images/7/9/27108_ms_media_files_media_7902_archive_.zip,1498512622,4648558
/nfs/images/media/morphosource/images/7/9/9487_ms_media_files_media_7929_archive_.zip,1783825569,4737906
/nfs/images/media/morphosource/images/7/9/83649_ms_media_files_media_7976_archive_.zip,64047100,125668
/nfs/images/media/morphosource/images/7/9/77138_ms_media_files_media_7937_archive_.zip,123055241,113664
/nfs/images/media/morphosource/images/7/9/18362_ms_media_files_media_7973_archive_.zip,90182835,151366
/nfs/images/media/morphosource/images/7/5/48157_ms_media_files_media_7597_archive_.zip,4482990674,5879244
/nfs/images/media/morphosource/images/7/5/72152_ms_media_files_media_7541_archive_.zip,871610296,4352404
/nfs/images/media/morphosource/images/7/5/3379_ms_media_files_media_7500_archive_.zip,1137850399,0
/nfs/images/media/morphosource/images/7/5/93612_ms_media_files_media_7537_archive_.zip,2151722447,1746652
/nfs/images/media/morphosource/images/7/5/48780_ms_media_files_media_7502_archive_.zip,1532032507,0
/nfs/images/media/morphosource/images/7/5/93944_ms_media_files_media_7598_archive_.zip,3954132116,3920286
/nfs/images/media/morphosource/images/7/5/67044_ms_media_files_media_7569_archive_.zip,1980778611,2073376
/nfs/images/media/morphosource/images/7/5/51686_ms_media_files_media_7503_archive_.zip,644423972,0
/nfs/images/media/morphosource/images/7/3/70975_ms_media_files_media_7341_archive_.zip,247254730,246622
/nfs/images/media/morphosource/images/7/3/50408_ms_media_files_media_7350_archive_.zip,318678755,276394
/nfs/images/media/morphosource/images/7/3/50502_ms_media_files_media_7356_archive_.zip,47012190,163746
/nfs/images/media/morphosource/images/7/3/83179_ms_media_files_media_7307_archive_.zip,25697821,114943
/nfs/images/media/morphosource/images/7/3/88632_ms_media_files_media_7322_archive_.zip,128025624,689362
/nfs/images/media/morphosource/images/7/3/60864_ms_media_files_media_7372_archive_.zip,290898233,479186
/nfs/images/media/morphosource/images/7/3/18897_ms_media_files_media_7300_archive_.zip,48846333,250704
/nfs/images/media/morphosource/images/7/3/57172_ms_media_files_media_7369_archive_.zip,153166665,333386
/nfs/images/media/morphosource/images/7/3/44478_ms_media_files_media_7366_archive_.zip,163852223,470106
/nfs/images/media/morphosource/images/7/3/43061_ms_media_files_media_7387_archive_.zip,70851005,238730
/nfs/images/media/morphosource/images/7/3/16958_ms_media_files_media_7384_archive_.zip,118884746,410818
/nfs/images/media/morphosource/images/7/3/32860_ms_media_files_media_7353_archive_.zip,45977617,112954
/nfs/images/media/morphosource/images/7/3/68660_ms_media_files_media_7329_archive_.zip,197652421,269746
/nfs/images/media/morphosource/images/7/3/31994_ms_media_files_media_7332_archive_.zip,270011826,372746
/nfs/images/media/morphosource/images/7/3/7136_ms_media_files_media_7313_archive_.zip,106592842,421330
/nfs/images/media/morphosource/images/7/3/54610_ms_media_files_media_7304_archive_.zip,31673203,186511
/nfs/images/media/morphosource/images/7/3/64886_ms_media_files_media_7396_archive_.zip,135804759,442178
/nfs/images/media/morphosource/images/7/3/68541_ms_media_files_media_7378_archive_.zip,502173317,917090
/nfs/images/media/morphosource/images/7/3/83714_ms_media_files_media_7319_archive_.zip,198141435,987922
/nfs/images/media/morphosource/images/7/3/59119_ms_media_files_media_7375_archive_.zip,163865297,281530
/nfs/images/media/morphosource/images/7/3/46815_ms_media_files_media_7381_archive_.zip,627015333,902050
/nfs/images/media/morphosource/images/7/3/73717_ms_media_files_media_7393_archive_.zip,38303458,155034
/nfs/images/media/morphosource/images/7/3/34599_ms_media_files_media_7310_archive_.zip,25697821,114943
/nfs/images/media/morphosource/images/7/3/43760_ms_media_files_media_7338_archive_.zip,202341634,304464
/nfs/images/media/morphosource/images/7/3/51164_ms_media_files_media_7316_archive_.zip,154992358,912370
/nfs/images/media/morphosource/images/7/3/22534_ms_media_files_media_7399_archive_.zip,159175342,291320
/nfs/images/media/morphosource/images/7/3/23030_ms_media_files_media_7359_archive_.zip,97492058,251266
/nfs/images/media/morphosource/images/7/3/27006_ms_media_files_media_7347_archive_.zip,430914682,365966
/nfs/images/media/morphosource/images/7/3/81936_ms_media_files_media_7335_archive_.zip,215773151,447874
/nfs/images/media/morphosource/images/7/3/69619_ms_media_files_media_7390_archive_.zip,70613459,219586
/nfs/images/media/morphosource/images/7/3/1433_ms_media_files_media_7344_archive_.zip,386606902,330862
/nfs/images/media/morphosource/images/7/3/44323_ms_media_files_media_7325_archive_.zip,166464720,258130
/nfs/images/media/morphosource/images/7/4/4767_ms_media_files_media_7472_archive_.zip,60628370,115537
/nfs/images/media/morphosource/images/7/4/99054_ms_media_files_media_7454_archive_.zip,62085707,220069
/nfs/images/media/morphosource/images/7/4/21827_ms_media_files_media_7409_archive_.zip,38699284,136029
/nfs/images/media/morphosource/images/7/4/26398_ms_media_files_media_7424_archive_.zip,247833857,281827
/nfs/images/media/morphosource/images/7/4/81357_ms_media_files_media_7415_archive_.zip,53000923,165273
/nfs/images/media/morphosource/images/7/4/96227_ms_media_files_media_7405_archive_.zip,335691303,647785
/nfs/images/media/morphosource/images/7/4/21159_ms_media_files_media_7430_archive_.zip,228132998,230277
/nfs/images/media/morphosource/images/7/4/54735_ms_media_files_media_7469_archive_.zip,65986557,141891
/nfs/images/media/morphosource/images/7/4/98607_ms_media_files_media_7418_archive_.zip,48438949,213477
/nfs/images/media/morphosource/images/7/4/55077_ms_media_files_media_7445_archive_.zip,11366716,69446
/nfs/images/media/morphosource/images/7/4/39732_ms_media_files_media_7412_archive_.zip,11103342,92831
/nfs/images/media/morphosource/images/7/4/90860_ms_media_files_media_7436_archive_.zip,17973163,98717
/nfs/images/media/morphosource/images/7/4/64665_ms_media_files_media_7402_archive_.zip,207598515,565681
/nfs/images/media/morphosource/images/7/4/77452_ms_media_files_media_7466_archive_.zip,81934928,142929
/nfs/images/media/morphosource/images/7/4/33525_ms_media_files_media_7442_archive_.zip,23074579,119476
/nfs/images/media/morphosource/images/7/4/72259_ms_media_files_media_7439_archive_.zip,70231139,282055
/nfs/images/media/morphosource/images/7/4/51979_ms_media_files_media_7427_archive_.zip,285052011,275638
/nfs/images/media/morphosource/images/7/4/59282_ms_media_files_media_7448_archive_.zip,44259586,202043
/nfs/images/media/morphosource/images/7/4/58348_ms_media_files_media_7451_archive_.zip,60607213,226057
/nfs/images/media/morphosource/images/7/4/49329_ms_media_files_media_7463_archive_.zip,87868440,220285
/nfs/images/media/morphosource/images/7/4/90408_ms_media_files_media_7460_archive_.zip,32923489,102985
/nfs/images/media/morphosource/images/7/4/49250_ms_media_files_media_7457_archive_.zip,69926317,248210
/nfs/images/media/morphosource/images/7/4/75784_ms_media_files_media_7421_archive_.zip,54825819,120729
/nfs/images/media/morphosource/images/7/4/62564_ms_media_files_media_7433_archive_.zip,130759496,140954
/nfs/images/media/morphosource/images/7/6/49201_ms_media_files_media_7648_archive_.zip,558409382,573064
/nfs/images/media/morphosource/images/7/6/41268_ms_media_files_media_7698_archive_.zip,225232914,281624
/nfs/images/media/morphosource/images/7/6/7170_ms_media_files_media_7642_archive_.zip,249336375,230518
/nfs/images/media/morphosource/images/7/6/82149_ms_media_files_media_7600_archive_.zip,346222723,301966
/nfs/images/media/morphosource/images/7/6/75222_ms_media_files_media_7627_archive_.zip,237620423,235570
/nfs/images/media/morphosource/images/7/6/98245_ms_media_files_media_7674_archive_.zip,168512137,205200
/nfs/images/media/morphosource/images/7/6/16694_ms_media_files_media_7686_archive_.zip,119800309,258328
/nfs/images/media/morphosource/images/7/6/22029_ms_media_files_media_7666_archive_.zip,240802244,247768
/nfs/images/media/morphosource/images/7/6/91007_ms_media_files_media_7633_archive_.zip,267117349,242012
/nfs/images/media/morphosource/images/7/6/51975_ms_media_files_media_7654_archive_.zip,180905071,326872
/nfs/images/media/morphosource/images/7/6/67875_ms_media_files_media_7639_archive_.zip,353020794,323612
/nfs/images/media/morphosource/images/7/6/91118_ms_media_files_media_7660_archive_.zip,236831201,500400
/nfs/images/media/morphosource/images/7/6/13440_ms_media_files_media_7680_archive_.zip,233824683,291152
/nfs/images/media/morphosource/images/7/6/4277_ms_media_files_media_7651_archive_.zip,407936948,412504
/nfs/images/media/morphosource/images/7/6/74519_ms_media_files_media_7692_archive_.zip,154714631,339736
/nfs/images/media/morphosource/images/7/6/17731_ms_media_files_media_7677_archive_.zip,228807450,289336
/nfs/images/media/morphosource/images/7/6/98418_ms_media_files_media_7689_archive_.zip,84609725,258328
/nfs/images/media/morphosource/images/7/6/84227_ms_media_files_media_7671_archive_.zip,74574409,287096
/nfs/images/media/morphosource/images/7/6/25370_ms_media_files_media_7683_archive_.zip,129135961,273760
/nfs/images/media/morphosource/images/7/6/38035_ms_media_files_media_7663_archive_.zip,268516466,500400
/nfs/images/media/morphosource/images/7/6/54570_ms_media_files_media_7618_archive_.zip,319076729,285646
/nfs/images/media/morphosource/images/7/6/62420_ms_media_files_media_7657_archive_.zip,139546046,326872
/nfs/images/media/morphosource/images/7/6/73515_ms_media_files_media_7695_archive_.zip,128182047,339736
/nfs/images/media/morphosource/images/7/6/34382_ms_media_files_media_7636_archive_.zip,220678074,202334
/nfs/images/media/morphosource/images/7/6/84059_ms_media_files_media_7630_archive_.zip,276560357,251392
/nfs/images/media/morphosource/images/7/6/93943_ms_media_files_media_7645_archive_.zip,482677204,484424
/nfs/images/media/morphosource/images/7/2/74957_ms_media_files_media_7279_archive_.zip,44374666,159439
/nfs/images/media/morphosource/images/7/2/84412_ms_media_files_media_7257_archive_.zip,201412942,251911
/nfs/images/media/morphosource/images/7/2/93713_ms_media_files_media_7206_archive_.zip,242590123,356902
/nfs/images/media/morphosource/images/7/2/2979_ms_media_files_media_7227_archive_.zip,328785647,372850
/nfs/images/media/morphosource/images/7/2/96328_ms_media_files_media_7218_archive_.zip,63568738,322408
/nfs/images/media/morphosource/images/7/2/96961_ms_media_files_media_7291_archive_.zip,252205732,373406
/nfs/images/media/morphosource/images/7/2/26189_ms_media_files_media_7233_archive_.zip,215972733,268722
/nfs/images/media/morphosource/images/7/2/18807_ms_media_files_media_7239_archive_.zip,348668654,482254
